C,MN,SI,S,CR,NI,MO,AL,TI,V,B,W,CO,H2,N,O2,Ladle_No.,Ladle_Life,LF Chamber Out Temp,Casting Temp,Liquidus Temp,Super-heat,Cast Time,Casting Speed,Defect
0.186,1.33,0.21,0,0.12,0.08,0.034,0.027,0.002,0.005,0.0001,0.001,0.006,0.92,48,0,6,3,1583,1568,1510,58,40,5.63,1
0.383,0.93,0.26,0.02,1.1,0.06,0.176,0.031,0.002,0.007,0.0002,0.002,0.008,1.43,55,0,5,2,1542,1542,1493,49,40,2.45,0
0.383,0.93,0.26,0.02,1.1,0.06,0.176,0.031,0.002,0.007,0.0002,0.002,0.008,1.43,55,0,5,2,1542,1542,1493,49,40,2.17,0
0.424,0.75,0.31,0.001,0.13,0.07,0.036,0.023,0.002,0.023,0.0001,0,0.005,1.14,48,0,11,7,1542,1542,1494,48,30,2.43,1
0.424,0.75,0.31,0.001,0.13,0.07,0.036,0.023,0.002,0.023,0.0001,0,0.005,1.14,48,0,11,7,1542,1542,1494,48,30,2.12,1
0.428,0.85,0.27,0.001,0.17,0.1,0.049,0.027,0.009,0.004,0.0001,0.002,0.005,1.3,53,0,9,19,1549,1545,1494,51,30,2.18,1
0.428,0.85,0.27,0.001,0.17,0.1,0.049,0.027,0.009,0.004,0.0001,0.002,0.005,1.3,53,0,9,19,1549,1545,1494,51,30,2.24,1
0.408,0.74,0.29,0.003,0.84,1.73,0.252,0.024,0.002,0.011,0.0002,0.005,0.022,1.41,51,0,9,6,1558,1537,1488,49,30,1.72,0
0.408,0.74,0.29,0.003,0.84,1.73,0.252,0.024,0.002,0.011,0.0002,0.005,0.022,1.41,51,0,9,6,1558,1537,1488,49,30,1.72,0
0.408,0.74,0.29,0.003,0.84,1.73,0.252,0.024,0.002,0.011,0.0002,0.005,0.022,1.41,51,0,9,6,1558,1537,1488,49,30,1.72,0
0.408,0.74,0.29,0.003,0.84,1.73,0.252,0.024,0.002,0.011,0.0002,0.005,0.022,1.41,51,0,9,6,1558,1537,1488,49,30,1.72,0
0.436,0.79,0.27,0,0.13,0.13,0.048,0.029,0.002,0.027,0.0001,0.001,0.006,1.38,49,0,6,5,1540,1540,1494,46,30,2.2,1
0.436,0.79,0.27,0,0.13,0.13,0.048,0.029,0.002,0.027,0.0001,0.001,0.006,1.38,49,0,6,5,1540,1540,1494,46,30,2.22,1
0.159,0.93,0.26,0.034,1.12,1.55,0.132,0.028,0.002,0.008,0.0003,0.004,0.025,1.41,69,0,5,2,1569,1559,1506,53,35,2.11,0
0.159,0.93,0.26,0.034,1.12,1.55,0.132,0.028,0.002,0.008,0.0003,0.004,0.025,1.41,69,0,5,2,1569,1559,1506,53,35,2.16,0
0.422,0.79,0.22,0.002,0.12,0.07,0.046,0.029,0.001,0.022,0.0001,0,0.005,1.18,50,0,3,9,1541,1541,1494,47,30,2.3,0
0.422,0.79,0.22,0.002,0.12,0.07,0.046,0.029,0.001,0.022,0.0001,0,0.005,1.18,50,0,3,9,1541,1541,1494,47,30,2.18,0
0.421,0.79,0.22,0.002,0.12,0.1,0.052,0.03,0.002,0.024,0.0001,0.001,0.006,1.33,51,0,5,20,1542,1510,1487,23,35,2.38,0
0.421,0.79,0.22,0.002,0.12,0.1,0.052,0.03,0.002,0.024,0.0001,0.001,0.006,1.33,51,0,5,4,1585,1545,1510,35,35,2.27,0
0.424,0.82,0.24,0,0.11,0.19,0.055,0.029,0.002,0.029,0.0001,0.002,0.006,1.35,48,0,11,10,1541,1541,1494,47,30,2.2,1
0.424,0.82,0.24,0,0.11,0.19,0.055,0.029,0.002,0.029,0.0001,0.002,0.006,1.35,48,0,11,10,1541,1541,1494,47,30,2.32,1
0.193,0.92,0.25,0.004,13,0.46,0.091,0.02,0.001,0.023,0.0002,0.001,0.026,1.49,120,0,2,8,1545,1545,1485,60,30,2.14,0
0.193,0.92,0.25,0.004,13,0.46,0.091,0.02,0.001,0.023,0.0002,0.001,0.026,1.49,120,0,2,8,1545,1545,1485,60,30,2.14,0
0.193,0.92,0.25,0.004,13,0.46,0.091,0.02,0.001,0.023,0.0002,0.001,0.026,1.49,120,0,2,8,1545,1545,1485,60,30,2.42,0
0.193,0.92,0.25,0.004,13,0.46,0.091,0.02,0.001,0.023,0.0002,0.001,0.026,1.49,120,0,2,8,1545,1545,1485,60,30,2.42,0
0.287,0.93,0.24,0.003,0.99,0.86,0.429,0.015,0.002,0.007,0.0001,0.003,0.016,1.44,54,0,4,3,1553,1553,1498,51,30,2.13,0
0.287,0.93,0.24,0.003,0.99,0.86,0.429,0.015,0.002,0.007,0.0001,0.003,0.016,1.44,54,0,4,3,1553,1553,1498,51,30,2.35,0
0.422,0.8,0.27,0,0.12,0.06,0.038,0.032,0.004,0.021,0.0002,0.001,0.005,1.21,49,0,6,7,1539,1539,1494,45,30,2.39,1
0.422,0.8,0.27,0,0.12,0.06,0.038,0.032,0.004,0.021,0.0002,0.001,0.005,1.21,49,0,6,7,1539,1539,1494,45,30,2.28,1
0.441,0.8,0.23,0.008,0.14,0.15,0.066,0.024,0.001,0.026,0.0001,0.003,0.008,1.39,49,0,12,14,1538,1538,1494,44,20,2.4,0
0.441,0.8,0.23,0.008,0.14,0.15,0.066,0.024,0.001,0.026,0.0001,0.003,0.008,1.39,49,0,12,14,1538,1538,1494,44,20,2.43,0
0.185,1.32,0.22,0.001,0.1,0.06,0.04,0.028,0.002,0.005,0.0001,0.001,0.005,0.89,48,0,12,8,1583,1570,1510,60,45,5.69,1
0.185,1.32,0.22,0.001,0.1,0.06,0.04,0.028,0.002,0.005,0.0001,0.001,0.005,0.89,48,0,12,8,1583,1570,1510,60,45,5.69,1
0.185,0.53,0.39,0.003,13.15,0.2,0.043,0.02,0,0.042,0.0002,0.011,0.033,1.82,362,0,9,25,1544,1544,1487,57,30,2.49,1
0.185,0.53,0.39,0.003,13.15,0.2,0.043,0.02,0,0.042,0.0002,0.011,0.033,1.82,362,0,9,25,1544,1544,1487,57,30,2.16,1
0.441,0.78,0.22,0.005,0.14,0.22,0.075,0.023,0.002,0.023,0.0001,0.001,0.008,1.36,52,0,4,26,1539,1539,1494,45,30,2.21,0
0.441,0.78,0.22,0.005,0.14,0.22,0.075,0.023,0.002,0.023,0.0001,0.001,0.008,1.36,52,0,4,26,1539,1539,1494,45,30,2.2,0
0.107,0.44,0.19,0.001,2.37,0.13,0.958,0.036,0.002,0.013,0.0002,0.005,0.011,0.89,59,0,6,13,1590,1575,1515,60,30,5.71,1
0.107,0.44,0.19,0.001,2.37,0.13,0.958,0.036,0.002,0.013,0.0002,0.005,0.011,0.89,59,0,6,13,1590,1575,1515,60,40,5.71,1
0.109,0.42,0.21,0.001,2.37,0.22,0.951,0.033,0.002,0.014,0.0003,0.006,0.01,0.92,52,0,11,18,1596,1572,1515,57,40,5.58,1
0.109,0.42,0.21,0.001,2.37,0.22,0.951,0.033,0.002,0.014,0.0003,0.006,0.01,0.92,52,0,11,18,1596,1572,1515,57,40,5.58,1
0.356,0.63,0.23,0.001,1.29,2.81,0.412,0.034,0.003,0.096,0.0002,0.008,0.051,1.3,51,0,5,7,1539,1539,1487,52,30,2.32,0
0.356,0.63,0.23,0.001,1.29,2.81,0.412,0.034,0.003,0.096,0.0002,0.008,0.051,1.3,51,0,5,7,1539,1539,1487,52,30,2.1,0
0.187,0.5,0.4,0.006,12.56,0.09,0.025,0.028,0,0.058,0.0002,0.012,0.024,1.15,347,0,2,2,1542,1542,1487,55,35,2.41,1
0.187,0.5,0.4,0.006,12.56,0.09,0.025,0.028,0,0.058,0.0002,0.012,0.024,1.15,347,0,2,2,1542,1542,1487,55,35,2.34,1
0.3,0.63,0.25,0.002,2.42,0.1,0.214,0.02,0.003,0.134,0.0001,0.001,0.009,0.92,52,0,12,20,1573,1561,1499,62,44,5.39,1
0.3,0.63,0.25,0.002,2.42,0.1,0.214,0.02,0.003,0.134,0.0001,0.001,0.009,0.92,52,0,12,20,1573,1561,1499,62,44,5.39,1
0.409,1.06,0.32,0.009,1.15,0.07,0.181,0.02,0.003,0.005,0.0002,0.001,0.007,1.38,58,0,6,21,1540,1541,1491,50,30,2.21,1
0.409,1.06,0.32,0.009,1.15,0.07,0.181,0.02,0.003,0.005,0.0002,0.001,0.007,1.38,58,0,6,21,1540,1541,1491,50,30,2.1,1
